product_id,product_name,purchase_price,amount,purchase_date,expiration_date
1,orange,1.89,1,2022-06-09,2024-09-12
2,orange,1.89,1,2022-06-09,2024-09-12
3,orange,1.89,1,2022-06-09,2024-09-12
4,shampoo,2.45,1,2022-06-07,2026-09-12
5,shampoo,2.45,1,2022-06-07,2026-09-12
6,shampoo,2.45,1,2022-06-07,2026-09-12
7,shampoo,2.45,1,2022-06-07,2026-09-12
8,egg,4.5,1,2022-06-07,2021-08-12
9,egg,4.5,1,2022-06-07,2021-08-12
10,egg,4.5,1,2022-06-07,2021-08-12
11,milk,23.4,1,2022-06-12,2024-02-13
12,milk,23.4,1,2022-06-12,2024-02-13
13,milk,23.4,1,2022-06-12,2024-02-13
14,onion,0.34,1,2022-06-12,2024-02-12
15,onion,0.34,1,2022-06-12,2024-02-12
16,onion,0.34,1,2022-06-12,2024-02-12
17,onion,0.34,1,2022-06-12,2024-02-12
18,onion,0.34,1,2022-06-12,2024-02-12
19,onion,0.34,1,2022-06-12,2024-02-12
20,onion,0.34,1,2022-06-12,2024-02-12
21,onion,0.34,1,2022-06-12,2024-02-12
22,onion,0.34,1,2022-06-12,2024-02-12
23,onion,0.34,1,2022-06-12,2024-02-12
24,oil,1.34,1,2022-06-25,2026-08-22
25,oil,1.34,1,2022-06-25,2026-08-22
26,oil,1.34,1,2022-06-25,2026-08-22
27,oil,1.34,1,2022-06-25,2026-08-22
28,oil,1.34,1,2022-06-25,2026-08-22
29,bread,0.23,1,2022-06-25,2021-09-12
30,bread,0.23,1,2022-06-25,2021-09-12
31,bread,0.23,1,2022-06-25,2021-09-12
32,bread,0.23,1,2022-06-25,2021-09-12
33,bread,0.23,1,2022-06-25,2021-09-12
